Location,Year,Date,CTT,CTP,COD,CER,WCER
Kolkata,2017,29-06-2017,217.769995,212.100003,2.81999994,23.5599995,19.6199996
Kolkata,2017,30-06-2017,230.129995,238.700004,16.8899996,32.2099993,21.5899995
Kolkata,2017,01-07-2017,208.789995,137.800002,3.36999992,24.1199995,21.0599995
Kolkata,2017,02-07-2017,215.239995,176.500003,43.779999,30.2199993,18.6999996
Kolkata,2017,03-07-2017,-9999,169.800003,-9999,-9999,-9999
Kolkata,2017,04-07-2017,206.929995,138.900002,9.25999979,14.3799997,14.7999997
Kolkata,2017,05-07-2017,200.739996,123.800002,11.5899997,28.0099994,-9999
Kolkata,2017,06-07-2017,229.549995,248.500004,41.3599991,22.6099995,14.3099997
Kolkata,2017,07-07-2017,215.659995,489.100007,6.05999986,21.6999995,16.1599996
Kolkata,2017,08-07-2017,233.179995,244.000004,5.34999988,28.2799994,21.0999995
Kolkata,2017,09-07-2017,210.439995,163.900002,5.08999989,23.5199995,18.5799996
Kolkata,2017,10-07-2017,235.519995,179.400003,17.4899996,25.6099994,23.7599995
Kolkata,2017,11-07-2017,206.859995,144.800002,18.9099996,29.4299993,15.1299997
Kolkata,2017,12-07-2017,204.989995,245.000004,11.5499997,30.9699993,-9999
Kolkata,2017,13-07-2017,233.159995,247.600004,13.4399997,42.4699991,21.0299995
Kolkata,2017,14-07-2017,278.699994,818.700012,3.50999992,38.6199991,20.4499995
Kolkata,2017,15-07-2017,276.049994,772.800012,1.86999996,30.9699993,18.3199996
Kolkata,2017,16-07-2017,271.289994,446.500007,2.15999995,27.0699994,19.8499996
Kolkata,2017,17-07-2017,210.779995,155.800002,3.56999992,25.6899994,-9999
Kolkata,2017,18-07-2017,213.029995,188.000003,2.80999994,21.2499995,19.6199996
Kolkata,2017,19-07-2017,-9999,187.700003,-9999,-9999,-9999
Kolkata,2017,20-07-2017,198.779996,146.200002,66.7999985,29.0499994,-9999
Kolkata,2017,21-07-2017,199.129996,346.100005,19.7499996,30.5499993,-9999
Kolkata,2017,22-07-2017,202.409995,187.200003,46.969999,37.5099992,-9999
Kolkata,2017,23-07-2017,201.359995,154.800002,44.749999,35.3099992,-9999
Kolkata,2017,24-07-2017,203.529995,169.700003,48.5599989,30.4299993,19.7499996
Kolkata,2017,25-07-2017,225.109995,223.600003,18.7099996,31.2799993,22.1899995
Kolkata,2017,26-07-2017,231.269995,415.300006,5.74999987,23.8199995,19.4299996
Kolkata,2017,27-07-2017,233.389995,234.200003,8.29999981,29.8399993,16.3099996
Kolkata,2017,28-07-2017,287.509994,431.000006,2.06999995,31.8799993,21.3999995
Kolkata,2017,29-07-2017,212.389995,160.300002,3.15999993,28.4299994,21.3899995
Kolkata,2017,30-07-2017,248.759994,493.700007,5.62999987,38.8599991,20.1099996
Kolkata,2017,31-07-2017,264.749994,682.30001,1.95999996,33.9299992,20.7599995
Kolkata,2017,01-08-2017,250.599994,306.000005,7.33999984,36.8099992,22.4399995
Kolkata,2017,02-08-2017,246.719994,256.400004,2.37999995,40.1799991,23.0899995
